PG.MolecularWeight,PG.NrOfStrippedSequencesIdentified (Experiment-wide),PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 20251205_SR_saliva_set2_#1.raw.PG.NrOfStrippedSequencesIdentified,[2] 20251205_SR_saliva_set2_#2.raw.PG.NrOfStrippedSequencesIdentified,[3] 20251205_SR_saliva_set2_#3.raw.PG.NrOfStrippedSequencesIdentified,[4] 20251205_SR_saliva_set2_#4.raw.PG.NrOfStrippedSequencesIdentified,[5] 20251205_SR_saliva_set2_#5.raw.PG.NrOfStrippedSequencesIdentified,[6] 20251205_SR_saliva_set2_#6.raw.PG.NrOfStrippedSequencesIdentified,[7] 20251205_SR_saliva_set2_#7.raw.PG.NrOfStrippedSequencesIdentified,[8] 20251205_SR_saliva_set2_#8.raw.PG.NrOfStrippedSequencesIdentified,[9] 20251205_SR_saliva_set2_#9.raw.PG.NrOfStrippedSequencesIdentified,[10] 20251205_SR_saliva_set2_#10.raw.PG.NrOfStrippedSequencesIdentified,[11] 20251205_SR_saliva_set2_#11.raw.PG.NrOfStrippedSequencesIdentified,[12] 20251205_SR_saliva_set2_#12.raw.PG.NrOfStrippedSequencesIdentified,[13] 20251205_SR_saliva_set2_#13.raw.PG.NrOfStrippedSequencesIdentified,[1] 20251205_SR_saliva_set2_#1.raw.PG.Quantity,[2] 20251205_SR_saliva_set2_#2.raw.PG.Quantity,[3] 20251205_SR_saliva_set2_#3.raw.PG.Quantity,[4] 20251205_SR_saliva_set2_#4.raw.PG.Quantity,[5] 20251205_SR_saliva_set2_#5.raw.PG.Quantity,[6] 20251205_SR_saliva_set2_#6.raw.PG.Quantity,[7] 20251205_SR_saliva_set2_#7.raw.PG.Quantity,[8] 20251205_SR_saliva_set2_#8.raw.PG.Quantity,[9] 20251205_SR_saliva_set2_#9.raw.PG.Quantity,[10] 20251205_SR_saliva_set2_#10.raw.PG.Quantity,[11] 20251205_SR_saliva_set2_#11.raw.PG.Quantity,[12] 20251205_SR_saliva_set2_#12.raw.PG.Quantity,[13] 20251205_SR_saliva_set2_#13.raw.PG.Quantity,[1] 20251205_SR_saliva_set2_#1.raw.PG.IBAQ,[2] 20251205_SR_saliva_set2_#2.raw.PG.IBAQ,[3] 20251205_SR_saliva_set2_#3.raw.PG.IBAQ,[4] 20251205_SR_saliva_set2_#4.raw.PG.IBAQ,[5] 20251205_SR_saliva_set2_#5.raw.PG.IBAQ,[6] 20251205_SR_saliva_set2_#6.raw.PG.IBAQ,[7] 20251205_SR_saliva_set2_#7.raw.PG.IBAQ,[8] 20251205_SR_saliva_set2_#8.raw.PG.IBAQ,[9] 20251205_SR_saliva_set2_#9.raw.PG.IBAQ,[10] 20251205_SR_saliva_set2_#10.raw.PG.IBAQ,[11] 20251205_SR_saliva_set2_#11.raw.PG.IBAQ,[12] 20251205_SR_saliva_set2_#12.raw.PG.IBAQ,[13] 20251205_SR_saliva_set2_#13.raw.PG.IBAQ
207538.68,1,A2ASQ1,Agrn,Mus musculus,Agrin,1,1,1,1,1,1,1,1,1,1,1,1,1,29165.31055,32846.89063,19881.4082,22649.76367,11505.99805,14474.96777,37352.30078,31576.33008,48949.75391,34639.29297,18036.50977,25430.82422,17209.88477,310.3,349.4,211.5,241,122.4,154,397.4,335.9,520.7,368.5,191.9,270.5,183.1
3906487.62,15,A2ASS6,Ttn,Mus musculus,Titin,4,5,4,3,9,12,2,3,2,4,6,2,3,106191.9141,166077.1875,84994.71094,125071.2109,86986.32813,117056.8125,42542.84766,53610.28516,54691.92188,33026.44531,121370.8203,66218.61719,66100.45313,271.6,219.1,186.6,177.9,124.1,281.2,118.7,54.7,67,39.8,312.4,74.2,91.3
65722.96,7,A2BGH0,Bpifb4,Mus musculus,BPI fold-containing family B member 4,7,6,4,6,6,7,6,6,0,7,6,6,7,266295.9063,66551.77344,44204.47656,346000.7813,363954.9063,276701.5938,383880.1563,2036001.625,NaN,240505.7031,243575.1719,405359.5625,363329.0625,49012.398,9081.9,5861.3,70660.297,39957.398,47668.301,69891.898,421813.188,NaN,61273.5,41129.199,92017.5,71192.797
52223.81,5,A3KMP2,Ttc38,Mus musculus,Tetratricopeptide repeat protein 38,1,1,0,1,5,1,1,1,1,1,3,1,2,13445.02832,6263.897949,NaN,5517.624512,86913.97656,13237.99219,8019.674316,9349.321289,12314.7207,17976.27344,33723.70313,3740.15918,13885.05371,732.6,341.3,NaN,300.6,6343.6,721.3,437,509.4,42.6,979.5,2040.3,203.8,828.7
211457.95,1,A6H8H2,Dennd4c,Mus musculus,DENN domain-containing protein 4C,1,1,1,0,1,1,1,1,1,1,1,1,1,142248.1875,110255.2031,86260.6875,NaN,90135.80469,31809.58594,12568.98145,20862.75977,55184.57813,55383.81641,21189.25391,39309.69141,54399.40234,1436.9,1113.7,871.3,NaN,910.5,321.3,127,210.7,557.4,559.4,214,397.1,549.5
104659.49,26,A6X935,Itih4,Mus musculus,"Inter alpha-trypsin inhibitor, heavy chain 4",12,10,9,14,26,15,15,11,12,11,23,14,22,55403.04297,37445.70313,31448.79883,88522.32031,1400326.875,83957.52344,174369.0625,47331.11328,52763.55078,50689.39453,496472.5313,72441.32813,280880.4688,9396.6,4605.6,5704.9,14911.9,304374.312,18278.699,37682.602,10687.7,11606.6,9049.9,110322.102,16429,61221.699
52790.49,13,B1AQ75,Krt36,Mus musculus,"Keratin, type I cuticular Ha6",11,10,10,2,4,11,12,9,11,11,7,10,9,139708.8125,68261.8125,89217.15625,18172.53516,11129.31641,133592.2969,235499.4063,63211.5625,265854.875,107142.0703,21927.28516,71328.82813,83156.98438,41536.398,18919.699,23423.6,1246.5,1567.8,36588.301,55721.898,16530.1,58686.801,20034.699,5281.7,16638.699,19948.4
243238.38,2,B2RQC6,Cad,Mus musculus,Multifunctional protein CAD,2,0,0,1,2,2,2,2,1,2,2,2,2,11059.2998,NaN,NaN,10985.55762,20436.32617,11093.0625,9775.317383,9855.898438,10808.66113,21433.62891,16618.16016,17863.79688,12193.77051,181.9,NaN,NaN,87,310.7,208.3,145.9,148.6,85.6,351.2,248.7,280,192.9
169222.78,1,B2RX12,Abcc3,Mus musculus,ATP-binding cassette sub-family C member 3,1,1,1,1,1,1,1,1,1,1,1,1,1,286377.5938,276169.6563,116017.7578,172029.6875,47598.28516,378746.5625,1191121.75,754344.4375,1504119.75,907261.0625,105748.8203,598866.5625,188216.0625,4274.3,4121.9,1731.6,2567.6,710.4,5652.9,17777.9,11258.9,22449.5,13541.2,1578.3,8938.3,2809.2
14135.49;14135.49;14135.49;14135.49;14135.49;14135.49;14135.49;14135.49;14135.49;14121.46;14161.53;13950.26;14149.52;14045.45,4,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2ac25;Hist1h2af;H2ac12;H2ac15;H2aj,Mus musculus,Histone H2A type 1-B;Histone H2A type 1-C;Histone H2A type 1-D;Histone H2A type 1-E;Histone H2A type 1-G;Histone H2A type 1-I;Histone H2A type 1-N;Histone H2A type 1-O;Histone H2A type 1-P;Histone H2A type 3;Histone H2A type 1-F;Histone H2A type 1-H;Histone H2A type 1-K;Histone H2A.J,4,4,4,4,4,4,4,4,4,4,4,4,4,4218221,7467418,8665382,5798144,3425701.25,11842627,3689225.75,4709690,3520216.75,3094251.5,3562097.5,4839809.5,5195502.5,2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5;2354017.5,4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009;4566009,3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75;3698649.75,2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5;2738370.5,959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125;959275.125,4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25;4164219.25,3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5;3886160.5,2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5;2485629.5,2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064;2983064,2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25;2322383.25,1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25;1683775.25,3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5;3722738.5,2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5;2881401.5
29608.78;29608.78,8,C0HKG5;C0HKG6,Rnaset2a;Rnaset2b,Mus musculus,Ribonuclease T2-A;Ribonuclease T2-B,8,8,8,8,6,8,8,8,7,8,8,7,8,345086.875,475241.5625,404188.3438,374385.4688,186130.7188,313967.0625,534428.25,541811.875,631606.9375,559119.875,193136.5,398664.1563,311569.5313,128693.203;128693.203,168298.906;168298.906,121184.5;121184.5,104172.398;104172.398,44646.699;44646.699,88456.102;88456.102,218600;218600,230726.5;230726.5,260118.797;260118.797,174836.906;174836.906,55940.699;55940.699,113071.297;113071.297,113596.102;113596.102
91519.33,1,D3YZF7,Vsig10l,Mus musculus,V-set and immunoglobulin domain-containing protein 10-like,1,1,1,0,0,0,1,1,1,1,1,1,1,9330.402344,4139.849121,6363.939941,NaN,NaN,NaN,7103.050293,1837.993774,1382.249634,5251.857422,5225.032227,5571.545898,4945.613281,212.1,94.1,144.6,NaN,NaN,NaN,161.4,41.8,31.4,119.4,118.8,126.6,112.4
26332.47,2,D3Z690,Izumo4,Mus musculus,Izumo sperm-egg fusion protein 4,2,2,2,2,1,2,1,2,2,2,2,2,2,27420.39258,31722.16211,32489.33984,29068.77539,17755.30664,26398.92969,22029.62109,27822.89648,25043.56445,30776.53516,9266.279297,25956.72266,14675.15039,3877.3,4483.3,4605.4,4146.1,1218.7,3771.3,1602.2,4159.6,3631.7,4489,1426,3674.7,2074.4
52553.97,2,D3Z6Q9,Bin2,Mus musculus,Bridging integrator 2,1,1,1,2,2,1,1,1,1,1,2,1,1,12474.72559,15706.10742,16233.99902,33026.96875,5732.770508,28517.06641,18458.57031,25035.82227,19277.44922,17260.14844,22251.22266,29888.26172,21470.35742,566.4,713.2,737.1,1883.3,396.5,1294.9,838.1,1136.8,875.3,783.7,1349.8,1357.1,974.9
87429.26,26,E9PV24,Fga,Mus musculus,Fibrinogen alpha chain,14,13,12,11,26,12,15,9,10,9,23,13,19,419735.7188,447320.8125,209612.8594,273496.1875,3731985.5,402203.75,718894.3125,201290.1094,247140,202557.2813,1917601.125,360546.1875,885833.5,49145.699,51503.801,33873.102,23059.9,363813.906,51070,91700.898,35793.5,38297.398,40142.898,203838.703,52274.699,99387.398
52982.6,7,E9Q3E1,Aldh3b2,Mus musculus,Aldehyde dehydrogenase family 3 member B2,7,2,6,1,7,4,4,6,2,6,5,5,5,49683.04297,41779.125,25934.71094,21296.00977,16771.02344,31775.89844,26708.92188,32634.73438,26001.72461,39572.12891,36731.66797,34475.40625,33094.78906,16283.5,4851,10664.6,1502.8,5737.2,6238.4,2808.3,13687.1,6527.3,13793.7,17814.301,9323.8,4829.4
509432.1,38,E9Q414,Apob,Mus musculus,Apolipoprotein B-100,0,0,0,2,37,0,0,0,0,0,33,0,14,NaN,NaN,NaN,86.42683411,75107.53906,NaN,NaN,NaN,NaN,NaN,110721.3359,NaN,13005.60742,NaN,NaN,NaN,25.5,8381,NaN,NaN,NaN,NaN,NaN,4973.4,NaN,3558.9
332912.2,71,E9Q557,Dsp,Mus musculus,Desmoplakin,67,43,56,49,55,62,54,62,41,66,62,60,63,1539911.125,451395.375,624797.5625,1024313.938,422038.1875,743153.125,730183.3125,780330.9375,440950.5,860280.8125,688425.875,694336.0625,567547.5,78870.297,24903.199,34863.398,44117.199,28775.5,38168.199,40247.898,42935.602,21443.6,46419.199,59471.398,39564.602,44931
66076.46,4,E9Q912,Rap1gds1,Mus musculus,Rap1 GTPase-GDP dissociation stimulator 1,0,0,0,0,4,1,1,1,0,1,4,1,2,NaN,NaN,NaN,NaN,126577.0781,17224.29688,16273.66309,12143.24805,NaN,13944.87891,59749.29297,12623.29492,32489.78125,NaN,NaN,NaN,NaN,9111.5,147,530.6,395.9,NaN,454.7,3640,411.6,1212.2
38615.16,1,G3X8U3,QNG1,Mus musculus,Queuosine 5'-phosphate N-glycosylase/hydrolase,1,0,1,1,1,1,1,1,1,1,1,0,1,12623.9043,NaN,15921.61914,11614.29004,108774.3281,14928.21094,14722.04297,22168.24023,20843.47656,24432.81836,34498.98047,NaN,23930.91211,573.8,NaN,723.7,527.9,4944.3,678.6,669.2,1007.6,947.4,1110.6,1568.1,NaN,1087.8
146901.97,5,G3X982,Aox3,Mus musculus,Aldehyde oxidase 3,0,1,0,0,5,0,0,0,0,0,4,0,2,NaN,4039.635254,NaN,NaN,29121.91797,NaN,NaN,NaN,NaN,NaN,7326.775879,NaN,5858.04248,NaN,69.2,NaN,NaN,2083.9,NaN,NaN,NaN,NaN,NaN,428.6,NaN,153.4
30407.53,4,G3X9C2,Nccrp1,Mus musculus,F-box only protein 50,4,3,4,2,3,3,2,3,3,4,3,4,3,79834.55469,18345.83789,50111.54688,23724.16992,17082.12891,73740.13281,12313.35156,40146.71094,26682.88672,119690.3594,40723.88672,49237.72266,45249.08203,14263.8,3938,8628.5,2720.4,5432.8,13258.6,1650.3,8389.3,4278.7,23968,6996.3,10401.9,8347.3
58207.06;70683.76,1,G3XA57;Q9D620,Rab11fip2;Rab11fip1,Mus musculus,Rab11 family-interacting protein 2;Rab11 family-interacting protein 1,1,0,1,0,1,1,1,1,1,1,1,1,1,3835.217773,NaN,3969.273926,NaN,5519.46582,10727.10645,15777.64746,16111.125,4488.698242,10169.15039,5907.994629,9628.900391,9499.097656,127.8;112.8,NaN,132.3;116.7,NaN,184;162.3,357.6;315.5,525.9;464,537;473.9,149.6;132,339;299.1,196.9;173.8,321;283.2,316.6;279.4
79872.18,5,O08529,Capn2,Mus musculus,Calpain-2 catalytic subunit,1,1,1,0,4,0,1,1,1,1,4,2,1,18612.97461,42973.89844,9456.97168,NaN,75964.3125,NaN,8417.075195,9719.978516,9344.681641,11933.4209,21303.61719,7631.484863,12281.82715,608.6,349.4,309.2,NaN,3869.7,NaN,275.2,317.8,305.6,390.2,1137.7,285.7,401.6
64470.16,1,O08539,Bin1,Mus musculus,Myc box-dependent-interacting protein 1,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,6410.633301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24740.58,1,O08547,Sec22b,Mus musculus,Vesicle-trafficking protein SEC22b,1,0,0,0,1,1,0,1,1,0,1,1,1,11713.66699,NaN,NaN,NaN,61261.77344,28279.99805,NaN,26240.10547,18617.3418,NaN,15035.96875,15018.92383,19268.83594,901.1,NaN,NaN,NaN,4712.4,2175.4,NaN,2018.5,1432.1,NaN,1156.6,1155.3,1482.2
62277.56,13,O08553,Dpysl2,Mus musculus,Dihydropyrimidinase-related protein 2,9,1,0,2,13,3,0,0,0,0,12,0,10,37285.43359,21854.26953,NaN,4662.669922,420791.1875,11225.44531,NaN,NaN,NaN,NaN,200823.4375,NaN,75412.13281,6319,1061,NaN,257.7,100822.898,1179.8,NaN,NaN,NaN,NaN,37631.898,NaN,13100.3
25604.08,1,O08585,Clta,Mus musculus,Clathrin light chain A,1,0,1,1,1,1,1,1,0,1,1,1,1,17280.50781,NaN,38932.9375,41953.75391,43685.67969,39482.30469,60370.73438,25616.77148,NaN,38303.45703,36242.49609,29714.66797,56667.94922,1920.1,NaN,4325.9,4661.5,4854,4386.9,6707.9,2846.3,NaN,4255.9,4026.9,3301.6,6296.4
67568.71,1,O08599,Stxbp1,Mus musculus,Syntaxin-binding protein 1,0,0,0,0,1,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,6614.414063,NaN,13035.48438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200.4,NaN,395,NaN,NaN,NaN,NaN,NaN,NaN
6688.31,1,O08632,Krtap19-5,Mus musculus,Keratin-associated protein 19-5,1,1,1,0,0,1,0,1,0,0,1,0,0,75798.07813,46259.19922,53324.59766,NaN,NaN,7746.332031,NaN,590320.8125,NaN,NaN,5021.833984,NaN,NaN,15159.6,9251.8,10664.9,NaN,NaN,1549.3,NaN,118064.203,NaN,NaN,1004.4,NaN,NaN
6697.42,1,O08633,Krtap8-1,Mus musculus,Keratin-associated protein 8-1,1,1,0,0,0,0,0,1,0,0,0,0,0,44046.07031,9230.604492,NaN,NaN,NaN,NaN,NaN,107055.4375,NaN,NaN,NaN,NaN,NaN,22023,4615.3,NaN,NaN,NaN,NaN,NaN,53527.699,NaN,NaN,NaN,NaN,NaN
52921.76,1,O08663,Metap2,Mus musculus,Methionine aminopeptidase 2,1,1,1,1,1,1,0,1,1,1,1,1,1,17272.34766,9240.098633,10822.58008,5846.047363,22070.38086,15073.96484,NaN,13386.46289,10026.81543,9084.28418,12233.41211,10074.24609,6994.365234,639.7,342.2,400.8,216.5,817.4,558.3,NaN,495.8,371.4,336.5,453.1,373.1,259.1
73102.11,16,O08677,Kng1,Mus musculus,Kininogen-1,6,6,7,8,16,10,10,6,8,10,15,10,12,229927.2344,396832.5313,350171.7813,755123.625,6492839.5,689457.0625,1080502.75,342299.625,376472.9375,350888.6563,3687376.5,557162.375,1540274.25,26360,35020.199,32570.1,71652.703,691847.875,64762,87133.398,29186,35155.199,34433.5,418897.594,54220.801,147082.797
72954.66,1,O08688,Capn5,Mus musculus,Calpain-5,1,1,1,1,1,1,1,1,1,1,1,1,1,20451.04883,18939.32617,48596.35938,47398.74219,44469.17578,18550.99609,26080.86328,46357.66406,13776.71973,25015.05078,39338.125,29689.38477,23825.00195,524.4,485.6,1246.1,1215.4,1140.2,475.7,668.7,1188.7,353.2,641.4,1008.7,761.3,610.9
19331.68,16,O08692,Ngp,Mus musculus,Neutrophilic granule protein,14,15,14,13,10,15,15,13,14,13,15,14,13,3211771.25,6536142.5,5111610.5,6289280,1889782.25,11032517,8002945.5,4791715,7130606.5,3794697,2991341.75,6473058,4177229.25,809177.188,2071606.25,1650515.75,1918386.875,415706.406,2968224.75,1947829.5,1244358.625,1781926.5,1073534.125,929781.312,1766632.25,1338593.625
24870.64,20,O08709,Prdx6,Mus musculus,Peroxiredoxin-6,19,14,18,17,20,18,15,17,16,20,19,19,20,979576.5625,462388.5313,615581.4375,533799.0625,2722764.5,692721.75,674953.125,559288.6875,438032.0938,818229.25,1429289.125,637913,817176,413256.312,186897.094,228462.297,222424.5,1032109.125,280261.688,230977.203,185719.5,147169.703,284767.312,686838.312,219206.203,296140.688
31595.04,2,O08738,Casp6,Mus musculus,Caspase-6,0,0,1,1,2,0,0,2,0,2,2,0,1,NaN,NaN,1667.560791,2676.703369,19234.67773,NaN,NaN,2629.486816,NaN,6316.036621,7023.187012,NaN,5295.583008,NaN,NaN,125.7,201.7,2077.8,NaN,NaN,261.9,NaN,623,810.1,NaN,399.1
88652.27,1,O08739,Ampd3,Mus musculus,AMP deaminase 3,0,0,0,0,1,1,0,0,0,0,1,0,1,NaN,NaN,NaN,NaN,3447.652344,3.544149637,NaN,NaN,NaN,NaN,3.686696529,NaN,2.941929579,NaN,NaN,NaN,NaN,88.4,0.1,NaN,NaN,NaN,NaN,0.1,NaN,0.1
63467.85,3,O08742,Gp5,Mus musculus,Platelet glycoprotein V,0,0,0,1,3,0,0,0,0,0,1,0,0,NaN,NaN,NaN,6131.14502,8208.664063,NaN,NaN,NaN,NaN,NaN,1433.75708,NaN,NaN,NaN,NaN,NaN,227.1,1191.5,NaN,NaN,NaN,NaN,NaN,111.1,NaN,NaN
